Rail Car,Source,Event Date,Event Code,Event Location
ADMX62302,Raven,2021-03-10T05:35:00,W,WEST DAVENPORT,IA [CPRS]
AOK19000,Raven,2021-03-22T00:01:00,A,ENGLEWOOD,TX [UP]
AOK19001,Raven,2021-03-22T00:01:00,A,ENGLEWOOD,TX [UP]
AOK19004,Raven,2021-03-22T09:09:00,A,BALT PENN MARY JCT,MD [CSXT]
AOK19015,Raven,2021-03-22T10:41:00,A,COLUMBIA,SC [NS]
AOK19017,Raven,2021-03-22T06:12:00,R,CLEARING,IL [BRC]
AOK19019,Raven,2021-03-22T01:20:00,A,HOWELLS TRANSFER,GA [CSXT]
AOK19026,Raven,2021-03-20T15:48:32,W,GRAND PRAIRIE,TX [UP]
AOK19031,Raven,2021-03-21T09:30:00,A,FLORENCE,SC [CSXT]
AOK19033,Raven,2021-03-21T20:53:00,A,HOWELLS TRANSFER,GA [CSXT]
AOK19041,Raven,2021-03-16T03:10:00,P,VALENTINE,AR [UP]
AOK19057,Raven,2021-03-21T08:27:00,A,NORTH LITTLE ROCK,AR [UP]
AOK19058,Raven,2021-03-22T08:20:00,W,MADISON,GA [CSXT]
AOK19064,Raven,2021-03-22T06:18:00,P,DOTHAN,AL [CSXT]
AOK19065,Raven,2021-03-22T09:03:00,A,VILLA GROVE,IL [UP]
AOK19069,Raven,2021-03-22T08:32:00,P,MAXWELL,NE [UP]
AOK19071,Raven,2021-03-19T02:44:00,A,OAK ISLAND,NJ [NS]
AOK19078,Raven,2021-03-16T05:42:00,W,PIPEOLA,AZ [UP]
AOK19084,Raven,2021-03-11T14:20:00,J,EAST SAINT LOUIS,IL [CSXT]
AOK19091,Raven,2021-03-20T15:48:32,W,GRAND PRAIRIE,TX [UP]
AOK19099,Raven,2021-03-11T04:17:00,W,GRAND PRAIRIE,TX [UP]
AOK19101,Raven,2021-03-22T08:12:00,P,GARNET,CA [UP]
AOK19104,Raven,2021-03-17T15:50:00,W,ALBUQUERQUE,NM [BNSF]
AOK19109,Raven,2021-03-22T01:00:00,A,TUCSON,AZ [UP]
AOK19113,Raven,2021-01-03T01:31:00,H,GATEWAY YARD,IL [UP]
AOK19119,Raven,2021-03-22T10:37:00,J,BIRMINGHAM,AL [CSXT]
AOK19125,Raven,2021-03-17T15:57:00,Z,MONTGOMERY,IL [BJRY]
AOK19127,Raven,2021-03-22T09:04:00,P,FARGO,OK [BNSF]
AOK19135,Raven,2021-03-21T09:58:00,A,MISSOURI VALLEY,IA [BNSF]
AOK19137,Raven,2021-03-09T09:05:00,W,RARITAN CENTER,NJ [RCRY]
AOK19161,Raven,2021-03-09T18:41:00,W,PIPEOLA,AZ [UP]
AOK19162,Raven,2021-03-21T08:05:00,B,OAK ISLAND,NJ [CSXT]
AOK19164,Raven,2021-03-22T06:18:00,P,DOTHAN,AL [CSXT]
AOK19168,Raven,2021-03-12T15:35:00,W,GRAND PRAIRIE,TX [UP]
AOK19170,Raven,2021-03-17T16:33:00,W,GREEN LIGHT SPUR,TX [UP]
AOK19172,Raven,2021-03-12T05:04:00,W,PIPEOLA,AZ [UP]
AOK19213,Raven,2021-03-21T21:13:00,A,CHATTANOOGA,TN [NS]
AOK19221,Raven,2021-03-18T20:46:00,A,NEWBERRY,SC [CSXT]
AOK19238,Raven,2021-03-21T21:13:00,A,CHATTANOOGA,TN [NS]
AOK19243,Raven,2021-03-22T11:00:00,P,WALBRIDGE,OH [CSXT]
AOK19256,Raven,2021-03-20T23:26:37,W,CAMDEN,TX [MCSA]
AOK19257,Raven,2021-03-21T10:19:00,Z,GREEN LIGHT SPUR,TX [UP]
AOK19266,Raven,2021-03-22T09:28:00,P,ARLINGTON,TX [UP]
AOK19272,Raven,2021-03-21T18:05:00,P,VALENTINE,AR [UP]
AOK19289,Raven,2021-03-22T08:50:00,W,MADISON,GA [CSXT]
AOK19294,Raven,2021-03-22T08:20:00,W,MADISON,GA [CSXT]
AOK354645,Raven,2021-03-20T02:17:00,A,TERRE HAUTE,IN [CSXT]
AOK354658,Raven,2021-03-21T17:43:00,R,MADISON TRRA,IL [TRRA]
AOK354813,Raven,2021-03-20T18:51:00,J,CLEARING,IL [BRC]
CRLE20491,Raven,2021-03-19T16:28:00,Z,FISCHER,ID [UP]
CRLE20499,Raven,2021-03-22T09:04:00,A,NORTH PLATTE WEST,NE [UP]
CRLE20504,Raven,2021-03-21T20:45:00,A,LINCOLN,NE [BNSF]
CRLE20507,Raven,2021-03-19T16:28:00,Z,FISCHER,ID [UP]
CSXT259411,Raven,2021-03-11T11:10:00,W,SYLACAUGA,AL [EARY]
FHRX135935,Raven,2021-03-11T16:56:00,J,BROWNSVILLE,TX [UP]
FHRX136013,Raven,2021-03-20T19:35:00,J,BROWNSVILLE,TX [UP]
FHRX136045,Raven,2021-03-15T13:00:00,Z,MATAMOROS,TM [KCSM]
FURX847256,Raven,2021-03-22T07:12:00,P,CLARKE,MO [BNSF]
GATX20220,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
GATX20251,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
GATX20258,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
GATX20273,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
GATX20304,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
GATX207041,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
GPMX10001,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10004,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10006,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10008,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10009,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10010,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10011,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10018,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10022,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10024,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10025,Raven,2021-03-20T01:40:00,A,EAST SAVANNAH,GA [CSXT]
GPMX10030,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10042,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10043,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10044,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10047,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10048,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10050,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10051,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10054,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10055,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10056,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10058,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10061,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10062,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10064,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10067,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10070,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10071,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10072,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10073,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10077,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10080,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10081,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10082,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10085,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10087,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10089,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10090,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10096,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX134599,Raven,2021-03-21T15:52:00,A,THOMASVILLE,GA [CSXT]
GPMX134628,Raven,2020-11-13T14:28:00,D,BRUNSWICK,GA [CSXT]
GPMX134642,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX134707,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX139526,Raven,2021-03-09T05:00:00,Z,BARNESVILLE,GA [NS]
GPMX139660,Raven,2021-03-10T06:51:00,Z,BARNESVILLE,GA [NS]
GPMX200117,Raven,2021-03-20T19:40:00,A,BRUNSWICK,GA [NS]
GPMX200178,Raven,2021-03-09T05:00:00,Z,BARNESVILLE,GA [NS]
GPMX200462,Raven,2021-03-19T05:56:00,Z,BARNESVILLE,GA [NS]
GPMX200510,Raven,2021-03-20T19:40:00,A,BRUNSWICK,GA [NS]
GPSX10168,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPSX10197,Raven,2020-11-13T14:28:00,D,BRUNSWICK,GA [CSXT]
GPSX10201,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX10207,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPSX10208,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPSX10210,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX10218,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX10225,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPSX4210,Raven,2020-10-28T07:24:00,W,METCALF,GA [CSXT]
